year,stocklong,bbmsy,ffmsy,region ,FisheryType
2000,american plaice nafo-5yz,0.765621424,2.8571,US East Coast,Flatfish
2001,american plaice nafo-5yz,0.738231479,3.2653,US East Coast,Flatfish
2002,american plaice nafo-5yz,0.581292439,3.0102,US East Coast,Flatfish
2003,american plaice nafo-5yz,0.467765316,3.3163,US East Coast,Flatfish
2004,american plaice nafo-5yz,0.39032578,2.8061,US East Coast,Flatfish
2005,american plaice nafo-5yz,0.392538338,1.6837,US East Coast,Flatfish
2006,american plaice nafo-5yz,0.46677348,1.4286,US East Coast,Flatfish
2007,american plaice nafo-5yz,0.61638819,0.6633,US East Coast,Flatfish
2008,american plaice nafo-5yz,0.85397116,0.8673,US East Coast,Flatfish
2009,american plaice nafo-5yz,0.990920882,1.0204,US East Coast,Flatfish
2010,american plaice nafo-5yz,1.067368582,0.7143,US East Coast,Flatfish
2011,american plaice nafo-5yz,1.13962005,0.5612,US East Coast,Flatfish
2012,american plaice nafo-5yz,1.130006867,0.6633,US East Coast,Flatfish
2013,american plaice nafo-5yz,1.100709545,0.5102,US East Coast,Flatfish
2014,american plaice nafo-5yz,1.109559777,0.4082,US East Coast,Flatfish
2015,american plaice nafo-5yz,1.109559777,0.4082,US East Coast,Flatfish
1980,atlantic cod eastern georges bank,0.866744594,2.0526,US East Coast,Gadids
1981,atlantic cod eastern georges bank,0.889843214,2.3684,US East Coast,Gadids
1982,atlantic cod eastern georges bank,0.821360506,3.7368,US East Coast,Gadids
1983,atlantic cod eastern georges bank,0.840240897,3.2105,US East Coast,Gadids
1984,atlantic cod eastern georges bank,0.702589383,3.1053,US East Coast,Gadids
1985,atlantic cod eastern georges bank,0.495489543,4.3158,US East Coast,Gadids
1986,atlantic cod eastern georges bank,0.510278759,3.4211,US East Coast,Gadids
1987,atlantic cod eastern georges bank,0.463039667,3.1053,US East Coast,Gadids
1988,atlantic cod eastern georges bank,0.840850761,3.3684,US East Coast,Gadids
1989,atlantic cod eastern georges bank,0.65507077,2.4211,US East Coast,Gadids
1990,atlantic cod eastern georges bank,0.774502579,3.3684,US East Coast,Gadids
1991,atlantic cod eastern georges bank,0.573780906,4.7368,US East Coast,Gadids
1992,atlantic cod eastern georges bank,0.371509161,5.3684,US East Coast,Gadids
1993,atlantic cod eastern georges bank,0.322110131,6.0526,US East Coast,Gadids
1994,atlantic cod eastern georges bank,0.161385409,8.0526,US East Coast,Gadids
1995,atlantic cod eastern georges bank,0.154829365,2.1579,US East Coast,Gadids
1996,atlantic cod eastern georges bank,0.187126776,2.6842,US East Coast,Gadids
1997,atlantic cod eastern georges bank,0.167306177,4.4211,US East Coast,Gadids
1998,atlantic cod eastern georges bank,0.163367469,3.5263,US East Coast,Gadids
1999,atlantic cod eastern georges bank,0.202398801,3.5789,US East Coast,Gadids
2000,atlantic cod eastern georges bank,0.181002719,2.2632,US East Coast,Gadids
2001,atlantic cod eastern georges bank,0.212232867,3.8947,US East Coast,Gadids
2002,atlantic cod eastern georges bank,0.177623053,2.8947,US East Coast,Gadids
2003,atlantic cod eastern georges bank,0.149772571,4.3158,US East Coast,Gadids
2004,atlantic cod eastern georges bank,0.116357076,3.9474,US East Coast,Gadids
2005,atlantic cod eastern georges bank,0.080476711,2.5263,US East Coast,Gadids
2006,atlantic cod eastern georges bank,0.097629152,3.4737,US East Coast,Gadids
2007,atlantic cod eastern georges bank,0.082179249,3.7368,US East Coast,Gadids
2008,atlantic cod eastern georges bank,0.073793612,4.0526,US East Coast,Gadids
2009,atlantic cod eastern georges bank,0.074022311,5.3684,US East Coast,Gadids
2010,atlantic cod eastern georges bank,0.04990725,5.5263,US East Coast,Gadids
2011,atlantic cod eastern georges bank,0.032017889,7.1579,US East Coast,Gadids
2012,atlantic cod eastern georges bank,0.02358143,5.8421,US East Coast,Gadids
2013,atlantic cod eastern georges bank,0.038929688,2.5263,US East Coast,Gadids
2014,atlantic cod eastern georges bank,0.05712398,1.9474,US East Coast,Gadids
2015,atlantic cod eastern georges bank,0.05712398,1.9474,US East Coast,Gadids
1980,Atlantic cod Georges Bank,0.489813673,3.0769,US East Coast,Gadids
1981,Atlantic cod Georges Bank,0.452558264,3.0178,US East Coast,Gadids
1982,Atlantic cod Georges Bank,0.422222996,4.0828,US East Coast,Gadids
1983,Atlantic cod Georges Bank,0.391778357,4.0237,US East Coast,Gadids
1984,Atlantic cod Georges Bank,0.328830934,3.6686,US East Coast,Gadids
1985,Atlantic cod Georges Bank,0.286629017,5.0888,US East Coast,Gadids
1986,Atlantic cod Georges Bank,0.244148703,3.432,US East Coast,Gadids
1987,Atlantic cod Georges Bank,0.297605791,3.2544,US East Coast,Gadids
1988,Atlantic cod Georges Bank,0.344018454,3.787,US East Coast,Gadids
1989,Atlantic cod Georges Bank,0.315855671,3.1953,US East Coast,Gadids
1990,Atlantic cod Georges Bank,0.294866569,4.3195,US East Coast,Gadids
1991,Atlantic cod Georges Bank,0.241727649,5.2663,US East Coast,Gadids
1992,Atlantic cod Georges Bank,0.183279311,5.0296,US East Coast,Gadids
1993,Atlantic cod Georges Bank,0.152998727,5.4438,US East Coast,Gadids
1994,Atlantic cod Georges Bank,0.102022351,6.568,US East Coast,Gadids
1995,Atlantic cod Georges Bank,0.099163816,4.0828,US East Coast,Gadids
1996,Atlantic cod Georges Bank,0.105502307,3.5503,US East Coast,Gadids
1997,Atlantic cod Georges Bank,0.10231069,5.2071,US East Coast,Gadids
1998,Atlantic cod Georges Bank,0.099223473,4.7337,US East Coast,Gadids
1999,Atlantic cod Georges Bank,0.105228882,4.5562,US East Coast,Gadids
2000,Atlantic cod Georges Bank,0.110632755,3.7278,US East Coast,Gadids
2001,Atlantic cod Georges Bank,0.125497136,5.0296,US East Coast,Gadids
2002,Atlantic cod Georges Bank,0.098094973,4.6154,US East Coast,Gadids
2003,Atlantic cod Georges Bank,0.070508869,4.8521,US East Coast,Gadids
2004,Atlantic cod Georges Bank,0.056529391,3.432,US East Coast,Gadids
2005,Atlantic cod Georges Bank,0.046919742,4.142,US East Coast,Gadids
2006,Atlantic cod Georges Bank,0.046541919,3.432,US East Coast,Gadids
2007,Atlantic cod Georges Bank,0.0457465,4.8521,US East Coast,Gadids
2008,Atlantic cod Georges Bank,0.039661549,5.3254,US East Coast,Gadids
2009,Atlantic cod Georges Bank,0.038140312,5.3254,US East Coast,Gadids
2010,Atlantic cod Georges Bank,0.030365097,5.4438,US East Coast,Gadids
2011,Atlantic cod Georges Bank,0.02600521,7.8698,US East Coast,Gadids
2012,Atlantic cod Georges Bank,0.02021357,5.9172,US East Coast,Gadids
2013,Atlantic cod Georges Bank,0.02586104,2.8402,US East Coast,Gadids
2014,Atlantic cod Georges Bank,0.030723035,2.7219,US East Coast,Gadids
2015,Atlantic cod Georges Bank,0.030723035,2.7219,US East Coast,Gadids
1980,atlantic cod gulf of maine,0.558538831,3.9622,US East Coast,Gadids
1981,atlantic cod gulf of maine,0.558538831,3.9622,US East Coast,Gadids
1982,atlantic cod gulf of maine,0.558538831,3.9622,US East Coast,Gadids
1983,atlantic cod gulf of maine,0.415781223,4.7243,US East Coast,Gadids
1984,atlantic cod gulf of maine,0.341677657,4.227,US East Coast,Gadids
1985,atlantic cod gulf of maine,0.313783064,4.9405,US East Coast,Gadids
1986,atlantic cod gulf of maine,0.292383109,4.5135,US East Coast,Gadids
1987,atlantic cod gulf of maine,0.283275686,4.4432,US East Coast,Gadids
1988,atlantic cod gulf of maine,0.295095429,3.3784,US East Coast,Gadids
1989,atlantic cod gulf of maine,0.393510339,5.0162,US East Coast,Gadids
1990,atlantic cod gulf of maine,0.510364048,6.1838,US East Coast,Gadids
1991,atlantic cod gulf of maine,0.436360017,6.8541,US East Coast,Gadids
1992,atlantic cod gulf of maine,0.271779431,7.373,US East Coast,Gadids
1993,atlantic cod gulf of maine,0.19113146,8.3838,US East Coast,Gadids
1994,atlantic cod gulf of maine,0.177196606,7.8973,US East Coast,Gadids
1995,atlantic cod gulf of maine,0.202577948,5.3946,US East Coast,Gadids
1996,atlantic cod gulf of maine,0.211461418,5.5784,US East Coast,Gadids
1997,atlantic cod gulf of maine,0.179013114,5,US East Coast,Gadids
1998,atlantic cod gulf of maine,0.158608505,4.4378,US East Coast,Gadids
1999,atlantic cod gulf of maine,0.173240103,2.5838,US East Coast,Gadids
2000,atlantic cod gulf of maine,0.229502078,3.3081,US East Coast,Gadids
2001,atlantic cod gulf of maine,0.300345883,3.8216,US East Coast,Gadids
2002,atlantic cod gulf of maine,0.300072163,2.973,US East Coast,Gadids
2003,atlantic cod gulf of maine,0.250702964,3.4919,US East Coast,Gadids
2004,atlantic cod gulf of maine,0.217209545,3.6216,US East Coast,Gadids
2005,atlantic cod gulf of maine,0.181177993,4.5514,US East Coast,Gadids
2006,atlantic cod gulf of maine,0.170254062,3.8919,US East Coast,Gadids
2007,atlantic cod gulf of maine,0.214198621,3.8703,US East Coast,Gadids
2008,atlantic cod gulf of maine,0.241769727,5.0054,US East Coast,Gadids
2009,atlantic cod gulf of maine,0.251026451,5.6378,US East Coast,Gadids
2010,atlantic cod gulf of maine,0.214945132,5.8,US East Coast,Gadids
2011,atlantic cod gulf of maine,0.139746684,8.4486,US East Coast,Gadids
2012,atlantic cod gulf of maine,0.073506358,9.6108,US East Coast,Gadids
2013,atlantic cod gulf of maine,0.051359893,7.2108,US East Coast,Gadids
2014,atlantic cod gulf of maine,0.055366163,5.1676,US East Coast,Gadids
2015,atlantic cod gulf of maine,0.055366163,5.1676,US East Coast,Gadids
1980,haddock eastern georges bank,NA,1.546153846,US East Coast,Gadids
1981,haddock eastern georges bank,NA,1.338461538,US East Coast,Gadids
1982,haddock eastern georges bank,NA,1.326923077,US East Coast,Gadids
1983,haddock eastern georges bank,NA,1.480769231,US East Coast,Gadids
1984,haddock eastern georges bank,NA,1.942307692,US East Coast,Gadids
1985,haddock eastern georges bank,NA,1.269230769,US East Coast,Gadids
1986,haddock eastern georges bank,NA,1.311538462,US East Coast,Gadids
1987,haddock eastern georges bank,NA,1.057692308,US East Coast,Gadids
1988,haddock eastern georges bank,NA,1.680769231,US East Coast,Gadids
1989,haddock eastern georges bank,NA,1.226923077,US East Coast,Gadids
1990,haddock eastern georges bank,NA,1.365384615,US East Coast,Gadids
1991,haddock eastern georges bank,NA,1.215384615,US East Coast,Gadids
1992,haddock eastern georges bank,NA,2.092307692,US East Coast,Gadids
1993,haddock eastern georges bank,NA,2,US East Coast,Gadids
1994,haddock eastern georges bank,NA,1.873076923,US East Coast,Gadids
1995,haddock eastern georges bank,NA,0.661538462,US East Coast,Gadids
1996,haddock eastern georges bank,NA,0.857692308,US East Coast,Gadids
1997,haddock eastern georges bank,NA,0.553846154,US East Coast,Gadids
1998,haddock eastern georges bank,NA,0.626923077,US East Coast,Gadids
1999,haddock eastern georges bank,NA,0.55,US East Coast,Gadids
2000,haddock eastern georges bank,NA,0.580769231,US East Coast,Gadids
2001,haddock eastern georges bank,NA,0.757692308,US East Coast,Gadids
2002,haddock eastern georges bank,NA,0.726923077,US East Coast,Gadids
2003,haddock eastern georges bank,NA,0.861538462,US East Coast,Gadids
2004,haddock eastern georges bank,NA,1.292307692,US East Coast,Gadids
2005,haddock eastern georges bank,NA,1.238461538,US East Coast,Gadids
2006,haddock eastern georges bank,NA,1.357692308,US East Coast,Gadids
2007,haddock eastern georges bank,NA,0.757692308,US East Coast,Gadids
2008,haddock eastern georges bank,NA,0.515384615,US East Coast,Gadids
2009,haddock eastern georges bank,NA,0.853846154,US East Coast,Gadids
2010,haddock eastern georges bank,NA,1.203846154,US East Coast,Gadids
2011,haddock eastern georges bank,NA,1.273076923,US East Coast,Gadids
2012,haddock eastern georges bank,NA,1.411538462,US East Coast,Gadids
2013,haddock eastern georges bank,NA,0.830769231,US East Coast,Gadids
2014,haddock eastern georges bank,NA,0.880769231,US East Coast,Gadids
2015,haddock eastern georges bank,NA,0.880769231,US East Coast,Gadids
1980,Haddock Georges Bank,0.657636196,1.7436,US East Coast,Gadids
1981,Haddock Georges Bank,0.568162512,1.4359,US East Coast,Gadids
1982,Haddock Georges Bank,0.457045245,0.9744,US East Coast,Gadids
1983,Haddock Georges Bank,0.357119114,1.0256,US East Coast,Gadids
1984,Haddock Georges Bank,0.249021237,1.3846,US East Coast,Gadids
1985,Haddock Georges Bank,0.184967682,1.2564,US East Coast,Gadids
1986,Haddock Georges Bank,0.193878116,0.9744,US East Coast,Gadids
1987,Haddock Georges Bank,0.192169898,1,US East Coast,Gadids
1988,Haddock Georges Bank,0.182271468,1.0769,US East Coast,Gadids
1989,Haddock Georges Bank,0.189168975,0.9744,US East Coast,Gadids
1990,Haddock Georges Bank,0.224404432,1.0769,US East Coast,Gadids
1991,Haddock Georges Bank,0.202631579,1.6923,US East Coast,Gadids
1992,Haddock Georges Bank,0.151532779,1.5641,US East Coast,Gadids
1993,Haddock Georges Bank,0.135632502,1.2821,US East Coast,Gadids
1994,Haddock Georges Bank,0.184275162,1.6667,US East Coast,Gadids
1995,Haddock Georges Bank,0.24245614,0.359,US East Coast,Gadids
1996,Haddock Georges Bank,0.322197599,0.5641,US East Coast,Gadids
1997,Haddock Georges Bank,0.392705448,0.3333,US East Coast,Gadids
1998,Haddock Georges Bank,0.456066482,0.4615,US East Coast,Gadids
1999,Haddock Georges Bank,0.531348107,0.4615,US East Coast,Gadids
2000,Haddock Georges Bank,0.651385042,0.4872,US East Coast,Gadids
2001,Haddock Georges Bank,0.769427516,0.7179,US East Coast,Gadids
2002,Haddock Georges Bank,0.86265928,0.7179,US East Coast,Gadids
2003,Haddock Georges Bank,1.00644506,0.6923,US East Coast,Gadids
2004,Haddock Georges Bank,0.892179132,1.1538,US East Coast,Gadids
2005,Haddock Georges Bank,0.946805171,1.0256,US East Coast,Gadids
2006,Haddock Georges Bank,1.552345337,1.0769,US East Coast,Gadids
2007,Haddock Georges Bank,1.685392428,0.641,US East Coast,Gadids
2008,Haddock Georges Bank,1.539482918,0.6154,US East Coast,Gadids
2009,Haddock Georges Bank,1.295272392,0.6923,US East Coast,Gadids
2010,Haddock Georges Bank,0.959270545,0.8462,US East Coast,Gadids
2011,Haddock Georges Bank,0.656288089,1.0256,US East Coast,Gadids
2012,Haddock Georges Bank,0.608014774,0.8974,US East Coast,Gadids
2013,Haddock Georges Bank,1.496565097,0.6154,US East Coast,Gadids
2014,Haddock Georges Bank,2.078301016,0.5897,US East Coast,Gadids
2015,Haddock Georges Bank,2.078301016,0.5897,US East Coast,Gadids
1980,haddock nafo-5y,3.253947653,1.5192,US East Coast,Gadids
1981,haddock nafo-5y,3.137789314,1.3632,US East Coast,Gadids
1982,haddock nafo-5y,2.995673805,1.4893,US East Coast,Gadids
1983,haddock nafo-5y,2.262600043,2.3825,US East Coast,Gadids
1984,haddock nafo-5y,1.506164828,1.8675,US East Coast,Gadids
1985,haddock nafo-5y,1.096257841,2.359,US East Coast,Gadids
1986,haddock nafo-5y,0.618862211,3.3782,US East Coast,Gadids
1987,haddock nafo-5y,0.322734155,2.0043,US East Coast,Gadids
1988,haddock nafo-5y,0.231451438,1.6197,US East Coast,Gadids
1989,haddock nafo-5y,0.168937919,1.2372,US East Coast,Gadids
1990,haddock nafo-5y,0.178455548,2.3504,US East Coast,Gadids
1991,haddock nafo-5y,0.154012546,2.703,US East Coast,Gadids
1992,haddock nafo-5y,0.138005624,2.6944,US East Coast,Gadids
1993,haddock nafo-5y,0.143197058,1.6218,US East Coast,Gadids
1994,haddock nafo-5y,0.235993943,0.891,US East Coast,Gadids
1995,haddock nafo-5y,0.423534501,1.2009,US East Coast,Gadids
1996,haddock nafo-5y,0.686567164,0.5769,US East Coast,Gadids
1997,haddock nafo-5y,1.050400173,0.9316,US East Coast,Gadids
1998,haddock nafo-5y,1.302833658,0.688,US East Coast,Gadids
1999,haddock nafo-5y,1.299589011,0.4167,US East Coast,Gadids
2000,haddock nafo-5y,1.552887735,0.5534,US East Coast,Gadids
2001,haddock nafo-5y,2.506597448,0.453,US East Coast,Gadids
2002,haddock nafo-5y,3.036123729,0.3868,US East Coast,Gadids
2003,haddock nafo-5y,2.61929483,0.3953,US East Coast,Gadids
2004,haddock nafo-5y,2.241185377,0.3654,US East Coast,Gadids
2005,haddock nafo-5y,1.913908717,0.5641,US East Coast,Gadids
2006,haddock nafo-5y,1.777849881,0.4829,US East Coast,Gadids
2007,haddock nafo-5y,1.572788233,0.688,US East Coast,Gadids
2008,haddock nafo-5y,1.377676833,0.6368,US East Coast,Gadids
2009,haddock nafo-5y,1.240536448,0.5278,US East Coast,Gadids
2010,haddock nafo-5y,1.054942678,0.6132,US East Coast,Gadids
2011,haddock nafo-5y,0.883841661,0.5556,US East Coast,Gadids
2012,haddock nafo-5y,0.984425698,0.7201,US East Coast,Gadids
2013,haddock nafo-5y,1.494051482,0.6325,US East Coast,Gadids
2014,haddock nafo-5y,2.233398226,0.5491,US East Coast,Gadids
2015,haddock nafo-5y,2.233398226,0.5491,US East Coast,Gadids
1980,Pollock NAFO-5YZ,2.69895273,0.8664,US East Coast,Gadids
1981,Pollock NAFO-5YZ,2.432858799,0.9964,US East Coast,Gadids
1982,Pollock NAFO-5YZ,2.290308479,0.9819,US East Coast,Gadids
1983,Pollock NAFO-5YZ,2.166764868,0.9567,US East Coast,Gadids
1984,Pollock NAFO-5YZ,1.786630681,1.1516,US East Coast,Gadids
1985,Pollock NAFO-5YZ,1.748617262,1.231,US East Coast,Gadids
1986,Pollock NAFO-5YZ,1.558550168,1.8845,US East Coast,Gadids
1987,Pollock NAFO-5YZ,1.33997301,1.8809,US East Coast,Gadids
1988,Pollock NAFO-5YZ,1.121395853,1.7762,US East Coast,Gadids
1989,Pollock NAFO-5YZ,1.05487237,1.3899,US East Coast,Gadids
1990,Pollock NAFO-5YZ,0.959838823,1.1516,US East Coast,Gadids
1991,Pollock NAFO-5YZ,1.016858951,0.8881,US East Coast,Gadids
1992,Pollock NAFO-5YZ,1.064375725,0.722,US East Coast,Gadids
1993,Pollock NAFO-5YZ,1.083382434,0.574,US East Coast,Gadids
1994,Pollock NAFO-5YZ,1.102389143,0.5018,US East Coast,Gadids
1995,Pollock NAFO-5YZ,1.273449528,0.4368,US East Coast,Gadids
1996,Pollock NAFO-5YZ,1.368483075,0.3249,US East Coast,Gadids
1997,Pollock NAFO-5YZ,1.530040104,0.3285,US East Coast,Gadids
1998,Pollock NAFO-5YZ,1.625073651,0.3502,US East Coast,Gadids
1999,Pollock NAFO-5YZ,1.748617262,0.296,US East Coast,Gadids
2000,Pollock NAFO-5YZ,1.834147454,0.2708,US East Coast,Gadids
2001,Pollock NAFO-5YZ,2.052724612,0.2671,US East Coast,Gadids
2002,Pollock NAFO-5YZ,2.261798415,0.2094,US East Coast,Gadids
2003,Pollock NAFO-5YZ,2.632429248,0.2094,US East Coast,Gadids
2004,Pollock NAFO-5YZ,2.812992987,0.1661,US East Coast,Gadids
2005,Pollock NAFO-5YZ,2.774979568,0.1697,US East Coast,Gadids
2006,Pollock NAFO-5YZ,2.784482922,0.1625,US East Coast,Gadids
2007,Pollock NAFO-5YZ,2.679946021,0.2383,US East Coast,Gadids
2008,Pollock NAFO-5YZ,2.575409119,0.3899,US East Coast,Gadids
2009,Pollock NAFO-5YZ,2.385342026,0.343,US East Coast,Gadids
2010,Pollock NAFO-5YZ,2.166764868,0.3357,US East Coast,Gadids
2011,Pollock NAFO-5YZ,2.138254804,0.4477,US East Coast,Gadids
2012,Pollock NAFO-5YZ,1.995704484,0.3755,US East Coast,Gadids
2013,Pollock NAFO-5YZ,1.957691065,0.361,US East Coast,Gadids
2014,Pollock NAFO-5YZ,1.891167582,0.1841,US East Coast,Gadids
2015,Pollock NAFO-5YZ,1.891167582,0.1841,US East Coast,Gadids
1980,White hake Georges Bank / Gulf of Maine,1.068940092,0.9787,US East Coast,Gadids
1981,White hake Georges Bank / Gulf of Maine,1.013671275,1.2872,US East Coast,Gadids
1982,White hake Georges Bank / Gulf of Maine,0.920061444,1.5904,US East Coast,Gadids
1983,White hake Georges Bank / Gulf of Maine,0.814101382,1.6649,US East Coast,Gadids
1984,White hake Georges Bank / Gulf of Maine,0.723625192,2.0106,US East Coast,Gadids
1985,White hake Georges Bank / Gulf of Maine,0.622734255,2.4521,US East Coast,Gadids
1986,White hake Georges Bank / Gulf of Maine,0.516835637,2.7021,US East Coast,Gadids
1987,White hake Georges Bank / Gulf of Maine,0.452104455,3.2394,US East Coast,Gadids
1988,White hake Georges Bank / Gulf of Maine,0.421443932,3.3298,US East Coast,Gadids
1989,White hake Georges Bank / Gulf of Maine,0.395391705,3.2128,US East Coast,Gadids
1990,White hake Georges Bank / Gulf of Maine,0.399815668,3.3564,US East Coast,Gadids
1991,White hake Georges Bank / Gulf of Maine,0.402396313,3.0106,US East Coast,Gadids
1992,White hake Georges Bank / Gulf of Maine,0.430138249,4.6968,US East Coast,Gadids
1993,White hake Georges Bank / Gulf of Maine,0.364024578,5.6862,US East Coast,Gadids
1994,White hake Georges Bank / Gulf of Maine,0.28187404,4,US East Coast,Gadids
1995,White hake Georges Bank / Gulf of Maine,0.250721966,3.7128,US East Coast,Gadids
1996,White hake Georges Bank / Gulf of Maine,0.251428571,2.8511,US East Coast,Gadids
1997,White hake Georges Bank / Gulf of Maine,0.251459293,1.8564,US East Coast,Gadids
1998,White hake Georges Bank / Gulf of Maine,0.290076805,1.6968,US East Coast,Gadids
1999,White hake Georges Bank / Gulf of Maine,0.302089094,2.4096,US East Coast,Gadids
2000,White hake Georges Bank / Gulf of Maine,0.294162826,2.2394,US East Coast,Gadids
2001,White hake Georges Bank / Gulf of Maine,0.331705069,2.2766,US East Coast,Gadids
2002,White hake Georges Bank / Gulf of Maine,0.393917051,1.7181,US East Coast,Gadids
2003,White hake Georges Bank / Gulf of Maine,0.416221198,2.2926,US East Coast,Gadids
2004,White hake Georges Bank / Gulf of Maine,0.376989247,1.766,US East Coast,Gadids
2005,White hake Georges Bank / Gulf of Maine,0.330322581,1.6277,US East Coast,Gadids
2006,White hake Georges Bank / Gulf of Maine,0.337941628,1.0106,US East Coast,Gadids
2007,White hake Georges Bank / Gulf of Maine,0.421536098,0.6702,US East Coast,Gadids
2008,White hake Georges Bank / Gulf of Maine,0.460460829,0.6543,US East Coast,Gadids
2009,White hake Georges Bank / Gulf of Maine,0.450445469,0.7926,US East Coast,Gadids
2010,White hake Georges Bank / Gulf of Maine,0.577019969,0.6277,US East Coast,Gadids
2011,White hake Georges Bank / Gulf of Maine,0.701198157,0.8032,US East Coast,Gadids
2012,White hake Georges Bank / Gulf of Maine,0.742119816,0.7234,US East Coast,Gadids
